Tutorial Group,Student ID,Name,School,Gender,CGPA
G-1,5002,Aarav Singh,SBS,Female,2.54
G-1,3838,Aarti Nair,CoE,Female,2.56
G-1,2091,Adlan Bin Rahman,CCEB,Male,2.6
G-1,288,Ajay Verma,MAE,Female,2.6
G-1,4479,Amelia Kim,CCDS,Male,2.43
G-1,5708,Ananya Ramesh,SSS,Male,2.51
G-1,4563,Anjali Patel,WKW SCI,Female,4.87
G-1,3989,Anthony Liu,SBS,Female,2.56
G-1,2115,Anya Kumar,SoH,Female,2.45
G-1,1383,Areeba Khan,ADM,Male,2.6
G-1,1417,Darren Lee,SSS,Female,2.57
G-1,1075,Felix Yip,ASE,Female,2.46
G-1,3148,Gabriel Young,MSE,Female,2.58
G-1,4402,Grace Turner,SoH,Male,2.53
G-1,945,Han Li,SoH,Male,2.48
G-1,2230,Harlow Wang,ADM,Female,2.46
G-1,4520,Henry Foster,CoB (NBS),Male,2.41
G-1,567,Isabella Thompson,CCDS,Male,2.39
G-1,1841,Jett Morales,ASE,Male,2.59
G-1,4576,Jie Zhang,SBS,Male,2.52
G-1,5703,Karen Lee,CoE,Female,2.56
G-1,2353,Karen Wong,ADM,Female,2.5
G-1,2069,Kathy Lau,SBS,Male,2.49
G-1,3861,Layla Torres,SSS,Female,2.55
G-1,162,Lila Patel,CoB (NBS),Male,2.46
G-1,588,Lucas Walker,NIE,Male,2.52
G-1,659,Maria Ivanovna,MAE,Male,2.55
G-1,4820,Meera Singh,SBS,Male,4.85
G-1,2151,Mei Hong,CoB (NBS),Female,2.45
G-1,235,Ming Zhang,MAE,Female,2.46
G-1,527,Mohit Desai,NIE,Female,2.41
G-1,1329,Nguyen Van Sam,MAE,Female,2.59
G-1,5119,Nhung Vu,CoB (NBS),Female,2.47
G-1,809,Nisha Das,SBS,Female,2.5
G-1,2650,Nurul Shafika,WKW SCI,Male,2.41
G-1,4657,Oleg Petrovich,MSE,Female,2.52
G-1,2818,Oliver Tan,MSE,Male,2.58
G-1,3628,Omer Ahmed,CCDS,Female,2.5
G-1,1555,Prerna Gupta,CoE,Male,2.6
G-1,1271,Priya Singh,CCEB,Male,2.45
G-1,75,Sakina Ahmed,CCEB,Male,2.47
G-1,4338,Sana Jain,SoH,Male,2.4
G-1,71,Savannah Taylor,CCEB,Male,2.56
G-1,2776,Siddharth Nair,CoB (NBS),Female,2.56
G-1,2417,Truong Minh Chau,CCEB,Male,2.61
G-1,5477,Vikram Desai,ASE,Female,2.51
G-1,2326,Vivi Dwi,ASE,Female,0.41
G-1,3930,Xun Wei,CCEB,Female,0.15
G-1,1645,Zachary Wu,SSS,Male,2.4
G-1,592,Zara Chang,ADM,Male,2.47
G-10,3329,Adrian Castillo,SPMS,Male,2.37
G-10,2581,Alyssa Green,EEE,Female,2.57
G-10,594,Ananya Singh,SSS,Female,0.5
G-10,560,Ayesha Javed,SoH,Female,2.48
G-10,3841,Benjamin Turner,LKCMedicine,Female,0.24
G-10,5624,Cheng Zhang,ADM,Male,2.47
G-10,3794,Christopher Miller,ASE,Male,4.68
G-10,2253,Dante Wu,ASE,Male,2.39
G-10,298,Freya Chen,CCEB,Female,0.37
G-10,403,Hae-Jin Lee,ASE,Male,2.51
G-10,5734,Hassan Malik,LKCMedicine,Female,2.44
G-10,611,Hendra Mulyana,CoB (NBS),Female,2.38
G-10,3051,Hunter Wilson,LKCMedicine,Female,2.54
G-10,565,Isaiah Scott,SSS,Male,2.53
G-10,223,Jaxon Hall,CoE,Female,2.52
G-10,375,Kaya Chang,SBS,Female,2.57
G-10,2031,Kendrick Alvarado,MSE,Female,2.5
G-10,5122,Kerry Lim,CoB (NBS),Male,2.62
G-10,2631,Kiara Lin,MSE,Male,2.37
G-10,3499,Kira Yamada,SBS,Male,2.46
G-10,435,Kiran Farooq,SPMS,Female,2.47
G-10,4020,Leo Xu,SoH,Male,2.55
G-10,3732,Liam Jones,EEE,Male,0.16
G-10,3111,Marco Garcia,SoH,Male,0.01
G-10,3843,Mia Zhang,NIE,Male,2.54
