Tutorial Group,Student ID,Name,School,Gender,CGPA
G-1,5002,Aarav Singh,CCDS,Male,4.02
G-1,3838,Aarti Nair,SPMS,Female,4.05
G-1,2091,Adlan Bin Rahman,NIE,Male,4.2
G-1,288,Ajay Verma,ASE,Male,4.01
G-1,4479,Amelia Kim,CoB (NBS),Female,4.11
G-1,5708,Ananya Ramesh,ADM,Male,4.2
G-1,4563,Anjali Patel,SSS,Female,4.01
G-1,3989,Anthony Liu,WKW SCI,Male,4.15
G-1,2115,Anya Kumar,CCEB,Female,4.03
G-1,1383,Areeba Khan,ASE,Female,4.19
G-1,1417,Darren Lee,MAE,Male,4.12
G-1,1075,Felix Yip,SoH,Male,4.08
G-1,3148,Gabriel Young,MAE,Male,3.88
G-1,4402,Grace Turner,NIE,Female,4.08
G-1,945,Han Li,MSE,Female,4.1
G-1,2230,Harlow Wang,CCEB,Female,4.18
G-1,4520,Henry Foster,CoE,Male,4.11
G-1,567,Isabella Thompson,SBS,Female,4.03
G-1,1841,Jett Morales,CCDS,Male,4.12
G-1,4576,Jie Zhang,SPMS,Male,4.03
G-1,5703,Karen Lee,CCEB,Female,4.12
G-1,2353,Karen Wong,WKW SCI,Female,3.95
G-1,2069,Kathy Lau,ASE,Female,4.48
G-1,3861,Layla Torres,SBS,Female,4.52
G-1,162,Lila Patel,SPMS,Female,4.07
G-1,588,Lucas Walker,SoH,Male,4.06
G-1,659,Maria Ivanovna,CoB (NBS),Female,4.2
G-1,4820,Meera Singh,ADM,Female,4.22
G-1,2151,Mei Hong,SBS,Female,4.02
G-1,235,Ming Zhang,CCEB,Male,4.06
G-1,527,Mohit Desai,MAE,Male,4.06
G-1,1329,Nguyen Van Sam,NIE,Male,3.85
G-1,5119,Nhung Vu,MSE,Female,4.04
G-1,809,Nisha Das,ADM,Female,4.26
G-1,2650,Nurul Shafika,SSS,Female,4.09
G-1,4657,Oleg Petrovich,MAE,Male,4.0
G-1,2818,Oliver Tan,SBS,Male,4.09
G-1,3628,Omer Ahmed,CoE,Male,4.06
G-1,1555,Prerna Gupta,CoE,Female,4.04
G-1,1271,Priya Singh,MSE,Female,4.17
G-1,75,Sakina Ahmed,SBS,Female,4.03
G-1,4338,Sana Jain,SPMS,Female,4.22
G-1,71,Savannah Taylor,CoE,Female,4.19
G-1,2776,Siddharth Nair,MSE,Male,4.14
G-1,2417,Truong Minh Chau,SBS,Female,3.88
G-1,5477,Vikram Desai,NIE,Male,4.09
G-1,2326,Vivi Dwi,ASE,Female,3.95
G-1,3930,Xun Wei,WKW SCI,Female,4.18
G-1,1645,Zachary Wu,CoB (NBS),Male,3.93
G-1,592,Zara Chang,NIE,Female,4.11
G-10,3329,Adrian Castillo,MSE,Male,4.07
G-10,2581,Alyssa Green,SBS,Female,3.94
G-10,594,Ananya Singh,SSS,Female,4.2
G-10,560,Ayesha Javed,CoE,Female,4.09
G-10,3841,Benjamin Turner,CCEB,Male,4.06
G-10,5624,Cheng Zhang,ADM,Male,4.11
G-10,3794,Christopher Miller,CCDS,Male,4.17
G-10,2253,Dante Wu,WKW SCI,Male,4.18
G-10,298,Freya Chen,ASE,Female,4.09
G-10,403,Hae-Jin Lee,CCDS,Female,4.52
G-10,5734,Hassan Malik,ADM,Male,4.03
G-10,611,Hendra Mulyana,CoE,Male,4.1
G-10,3051,Hunter Wilson,LKCMedicine,Male,4.06
G-10,565,Isaiah Scott,EEE,Male,4.15
G-10,223,Jaxon Hall,MSE,Male,4.12
G-10,375,Kaya Chang,CCDS,Female,4.05
G-10,2031,Kendrick Alvarado,ADM,Male,4.18
G-10,5122,Kerry Lim,SBS,Female,4.01
G-10,2631,Kiara Lin,LKCMedicine,Female,4.06
G-10,3499,Kira Yamada,CoB (NBS),Female,4.26
G-10,435,Kiran Farooq,WKW SCI,Female,4.15
G-10,4020,Leo Xu,SPMS,Male,4.12
G-10,3732,Liam Jones,EEE,Male,4.2
G-10,3111,Marco Garcia,CCDS,Male,4.04
G-10,3843,Mia Zhang,CCEB,Female,4.18
G-10,3395,Michael Miller,CoB (NBS),Male,3.95
G-10,1468,Ming Wei,CoB (NBS),Male,4.19
G-10,171,Nina Bennett,CoE,Female,4.08
G-10,5420,Nina Patil,CCDS,Female,4.1
G-10,1139,Nurul Aini Binti Ahmad,CoE,Female,4.2
G-10,4588,Paula Wong,MSE,Female,4.06
G-10,3364,Rhea Kapoor,MSE,Female,4.0
G-10,3189,Rhea Lee,ADM,Female,4.07
G-10,5695,Rhys Tan,CoB (NBS),Male,4.06
G-10,4108,Rizan Bin Ahmad,MSE,Male,4.11
G-10,4308,Sho Nakajima,EEE,Male,4.27
G-10,2405,Soo-Young Kim,SPMS,Female,3.88
G-10,5856,Sophie Cheung,MSE,Female,4.2
G-10,2515,Tanya Lee,MSE,Female,4.04
G-10,516,Tao Liu,SoH,Male,4.05
G-10,16,Tatum Flores,MSE,Female,4.2
G-10,2857,Tianming,MSE,Female,4.2
G-10,2863,Will Chen,CCDS,Male,4.23
G-10,2255,Xander Cook,CEE,Male,4.1
G-10,3903,Xiao Chen,CEE,Male,3.86
G-10,5121,Ximena Fernandez,NIE,Female,4.12
G-10,4077,Yasir Ahmad,MSE,Male,4.52
G-10,3963,Yasmine Villanueva,ADM,Female,4.02
G-10,4477,Yuzhi,SSS,Male,4.25
G-10,3388,Zaki Bin Ibrahim,EEE,Male,4.0
G-100,4043,Adrian King,CEE,Male,4.12
G-100,3242,Aiden Brown,NIE,Male,3.9
G-100,2603,Ali Rehman,SPMS,Male,4.14
G-100,3280,Alina Malik,SoH,Female,4.19
G-100,701,Ameer Bin Rahman,MSE,Male,4.2
G-100,5269,Anjali Nair,MAE,Female,4.27
G-100,424,Ashok Nair,CEE,Male,4.52
G-100,2468,Bella Perry,SBS,Female,3.9
G-100,5743,Bradley Huang,CoB (NBS),Male,4.01
G-100,2017,Caiyun,CCEB,Male,3.91
G-100,4425,Carla Wang,WKW SCI,Female,4.12
G-100,4888,Carter Moore,SSS,Male,4.1
G-100,2000,Danty Susanto,CCDS,Male,4.05
G-100,1683,Diya Nair,LKCMedicine,Female,4.11
G-100,491,Fangling,EEE,Female,4.05
G-100,1145,Fay Tan,MAE,Female,4.09
G-100,5945,Fergus Mendoza,ASE,Male,4.11
G-100,2346,Fiona Clark,SBS,Female,4.15
G-100,2089,Han Zhang,ASE,Male,4.02
G-100,4283,Hassan Farooq,LKCMedicine,Female,4.1
G-100,861,Hua Zhang,LKCMedicine,Male,4.17
G-100,438,Iris Rivera,EEE,Female,3.95
G-100,2009,Isabella Thomas,MAE,Female,3.9
