Tutorial Group,Student ID,Name,School,Gender,CGPA,Team Assigned
G-1,5002,Aarav Singh,SoH,Male,2.49,
G-1,3838,Aarti Nair,ASE,Female,2.58,
G-1,2091,Adlan Bin Rahman,EEE,Female,2.61,
G-1,288,Ajay Verma,CoB (NBS),Male,2.58,
G-1,4479,Amelia Kim,SoH,Male,2.56,
G-1,5708,Ananya Ramesh,ASE,Female,2.55,
G-1,4563,Anjali Patel,MAE,Male,2.54,
G-1,3989,Anthony Liu,SPMS,Male,2.56,
G-1,2115,Anya Kumar,SoH,Female,2.58,
G-1,1383,Areeba Khan,CoB (NBS),Female,2.53,
G-1,1417,Darren Lee,SPMS,Male,2.4,
G-1,1075,Felix Yip,CCEB,Female,2.52,
G-1,3148,Gabriel Young,SBS,Male,0.18,
G-1,4402,Grace Turner,EEE,Male,2.52,
G-1,945,Han Li,NIE,Male,2.54,
G-1,2230,Harlow Wang,SoH,Female,2.47,
G-1,4520,Henry Foster,SoH,Female,0.35,
G-1,567,Isabella Thompson,SPMS,Female,2.57,
G-1,1841,Jett Morales,ADM,Male,2.53,
G-1,4576,Jie Zhang,SBS,Female,2.42,
G-1,5703,Karen Lee,CoE,Female,2.57,
G-1,2353,Karen Wong,SoH,Male,2.48,
G-1,2069,Kathy Lau,WKW SCI,Female,2.44,
G-1,3861,Layla Torres,CoE,Female,0.0,
G-1,162,Lila Patel,EEE,Female,2.49,
G-1,588,Lucas Walker,CCEB,Male,2.54,
G-1,659,Maria Ivanovna,EEE,Female,4.58,
G-1,4820,Meera Singh,MSE,Male,2.52,
G-1,2151,Mei Hong,EEE,Male,2.39,
G-1,235,Ming Zhang,ADM,Male,2.4,
G-1,527,Mohit Desai,CoB (NBS),Female,2.5,
G-1,1329,Nguyen Van Sam,MSE,Male,2.49,
G-1,5119,Nhung Vu,SBS,Female,2.43,
G-1,809,Nisha Das,ADM,Male,2.39,
G-1,2650,Nurul Shafika,MAE,Male,2.57,
G-1,4657,Oleg Petrovich,SPMS,Male,2.48,
G-1,2818,Oliver Tan,EEE,Female,2.49,
G-1,3628,Omer Ahmed,ASE,Male,2.4,
G-1,1555,Prerna Gupta,NIE,Female,2.47,
G-1,1271,Priya Singh,SPMS,Female,2.48,
G-1,75,Sakina Ahmed,CCEB,Male,2.43,
G-1,4338,Sana Jain,ASE,Male,2.5,
G-1,71,Savannah Taylor,ASE,Female,2.46,
G-1,2776,Siddharth Nair,MAE,Female,2.5,
G-1,2417,Truong Minh Chau,CoE,Male,2.6,
G-1,5477,Vikram Desai,CoE,Male,2.46,
G-1,2326,Vivi Dwi,CCEB,Female,2.55,
G-1,3930,Xun Wei,CCEB,Female,2.45,
G-1,1645,Zachary Wu,SBS,Male,2.41,
G-1,592,Zara Chang,WKW SCI,Female,2.53,
G-10,3329,Adrian Castillo,CoE,Female,2.44,
G-10,2581,Alyssa Green,NIE,Female,2.42,
G-10,594,Ananya Singh,LKCMedicine,Female,2.46,
G-10,560,Ayesha Javed,SPMS,Female,0.47,
G-10,3841,Benjamin Turner,ADM,Male,2.39,
G-10,5624,Cheng Zhang,SSS,Female,2.37,
G-10,3794,Christopher Miller,NIE,Male,2.58,
G-10,2253,Dante Wu,SSS,Female,2.62,
G-10,298,Freya Chen,NIE,Male,2.42,
G-10,403,Hae-Jin Lee,SBS,Female,2.41,
G-10,5734,Hassan Malik,CEE,Male,2.58,
G-10,611,Hendra Mulyana,ASE,Female,2.61,
G-10,3051,Hunter Wilson,CEE,Male,2.47,
G-10,565,Isaiah Scott,ASE,Female,2.58,
G-10,223,Jaxon Hall,CEE,Male,0.12,
G-10,375,Kaya Chang,CCDS,Male,2.62,
G-10,2031,Kendrick Alvarado,WKW SCI,Male,2.44,
G-10,5122,Kerry Lim,CoB (NBS),Male,2.39,
G-10,2631,Kiara Lin,WKW SCI,Male,2.59,
G-10,3499,Kira Yamada,CoE,Female,2.47,
G-10,435,Kiran Farooq,NIE,Male,2.58,
G-10,4020,Leo Xu,SoH,Male,2.51,
G-10,3732,Liam Jones,MSE,Male,2.56,
G-10,3111,Marco Garcia,CCDS,Male,2.44,
G-10,3843,Mia Zhang,LKCMedicine,Female,2.58,
G-10,3395,Michael Miller,SoH,Female,0.06,
G-10,1468,Ming Wei,LKCMedicine,Female,2.54,
G-10,171,Nina Bennett,LKCMedicine,Male,2.4,
G-10,5420,Nina Patil,SoH,Female,2.44,
G-10,1139,Nurul Aini Binti Ahmad,WKW SCI,Female,2.44,
G-10,4588,Paula Wong,LKCMedicine,Male,4.83,
G-10,3364,Rhea Kapoor,SSS,Female,2.62,
G-10,3189,Rhea Lee,SBS,Female,2.56,
G-10,5695,Rhys Tan,SPMS,Male,2.58,
G-10,4108,Rizan Bin Ahmad,CoB (NBS),Male,2.43,
G-10,4308,Sho Nakajima,SBS,Female,2.4,
G-10,2405,Soo-Young Kim,SSS,Male,2.4,
G-10,5856,Sophie Cheung,CEE,Male,2.63,
G-10,2515,Tanya Lee,ASE,Female,2.45,
G-10,516,Tao Liu,NIE,Male,0.1,
G-10,16,Tatum Flores,SoH,Female,2.41,
G-10,2857,Tianming,SSS,Female,2.48,
G-10,2863,Will Chen,CoE,Female,2.62,
G-10,2255,Xander Cook,SBS,Female,2.42,
G-10,3903,Xiao Chen,MSE,Male,2.39,
G-10,5121,Ximena Fernandez,CoE,Female,2.38,
G-10,4077,Yasir Ahmad,ASE,Female,2.59,
G-10,3963,Yasmine Villanueva,NIE,Male,2.62,
G-10,4477,Yuzhi,SPMS,Male,2.58,
G-10,3388,Zaki Bin Ibrahim,ADM,Male,2.6,
G-100,4043,Adrian King,EEE,Female,2.36,
G-100,3242,Aiden Brown,LKCMedicine,Male,4.75,
G-100,2603,Ali Rehman,SBS,Male,2.61,
G-100,3280,Alina Malik,MSE,Female,2.39,
G-100,701,Ameer Bin Rahman,SBS,Female,2.59,
G-100,5269,Anjali Nair,SoH,Male,2.5,
G-100,424,Ashok Nair,SPMS,Female,2.63,
G-100,2468,Bella Perry,LKCMedicine,Female,2.44,
