Tutorial Group,Student ID,Name,School,Gender,CGPA
G-1,5002,Aarav Singh,CCEB,Male,4.02
G-1,3838,Aarti Nair,MAE,Female,4.05
G-1,2091,Adlan Bin Rahman,SSS,Male,4.2
G-1,288,Ajay Verma,MAE,Male,4.01
G-1,4479,Amelia Kim,MSE,Female,4.11
G-1,5708,Ananya Ramesh,CoB (NBS),Male,4.2
G-1,4563,Anjali Patel,NIE,Female,4.01
G-1,3989,Anthony Liu,SPMS,Male,4.15
G-1,2115,Anya Kumar,SoH,Female,4.03
G-1,1383,Areeba Khan,MAE,Female,4.19
G-1,1417,Darren Lee,MAE,Male,4.12
G-1,1075,Felix Yip,SoH,Male,4.08
G-1,3148,Gabriel Young,SoH,Male,3.88
G-1,4402,Grace Turner,MSE,Female,4.08
G-1,945,Han Li,SPMS,Female,4.1
G-1,2230,Harlow Wang,SSS,Female,4.18
G-1,4520,Henry Foster,CoB (NBS),Male,4.11
G-1,567,Isabella Thompson,SSS,Female,4.03
G-1,1841,Jett Morales,CoB (NBS),Male,4.12
G-1,4576,Jie Zhang,MAE,Male,4.03
G-1,5703,Karen Lee,EEE,Female,4.12
G-1,2353,Karen Wong,CoB (NBS),Female,3.95
G-1,2069,Kathy Lau,SoH,Female,4.48
G-1,3861,Layla Torres,ASE,Female,4.52
G-1,162,Lila Patel,MAE,Female,4.07
G-1,588,Lucas Walker,SoH,Male,4.06
G-1,659,Maria Ivanovna,MSE,Female,4.2
G-1,4820,Meera Singh,SPMS,Female,4.22
G-1,2151,Mei Hong,ADM,Female,4.02
G-1,235,Ming Zhang,CCEB,Male,4.06
G-1,527,Mohit Desai,CCEB,Male,4.06
G-1,1329,Nguyen Van Sam,CoE,Male,3.85
G-1,5119,Nhung Vu,MSE,Female,4.04
G-1,809,Nisha Das,MAE,Female,4.26
G-1,2650,Nurul Shafika,NIE,Female,4.09
G-1,4657,Oleg Petrovich,SPMS,Male,4.0
G-1,2818,Oliver Tan,ADM,Male,4.09
G-1,3628,Omer Ahmed,EEE,Male,4.06
G-1,1555,Prerna Gupta,ASE,Female,4.04
G-1,1271,Priya Singh,EEE,Female,4.17
G-1,75,Sakina Ahmed,EEE,Female,4.03
G-1,4338,Sana Jain,WKW SCI,Female,4.22
G-1,71,Savannah Taylor,SoH,Female,4.19
G-1,2776,Siddharth Nair,CoE,Male,4.14
G-1,2417,Truong Minh Chau,MSE,Female,3.88
G-1,5477,Vikram Desai,CoE,Male,4.09
G-1,2326,Vivi Dwi,SBS,Female,3.95
G-1,3930,Xun Wei,MAE,Female,4.18
G-1,1645,Zachary Wu,CoE,Male,3.93
G-1,592,Zara Chang,EEE,Female,4.11
G-10,3329,Adrian Castillo,SSS,Male,4.07
G-10,2581,Alyssa Green,NIE,Female,3.94
G-10,594,Ananya Singh,SPMS,Female,4.2
G-10,560,Ayesha Javed,CoE,Female,4.09
G-10,3841,Benjamin Turner,CoE,Male,4.06
G-10,5624,Cheng Zhang,SoH,Male,4.11
G-10,3794,Christopher Miller,SSS,Male,4.17
G-10,2253,Dante Wu,NIE,Male,4.18
G-10,298,Freya Chen,WKW SCI,Female,4.09
G-10,403,Hae-Jin Lee,CCEB,Female,4.52
G-10,5734,Hassan Malik,LKCMedicine,Male,4.03
G-10,611,Hendra Mulyana,CCEB,Male,4.1
G-10,3051,Hunter Wilson,EEE,Male,4.06
G-10,565,Isaiah Scott,SPMS,Male,4.15
G-10,223,Jaxon Hall,SBS,Male,4.12
G-10,375,Kaya Chang,NIE,Female,4.05
G-10,2031,Kendrick Alvarado,CCDS,Male,4.18
G-10,5122,Kerry Lim,MSE,Female,4.01
G-10,2631,Kiara Lin,MSE,Female,4.06
G-10,3499,Kira Yamada,SBS,Female,4.26
G-10,435,Kiran Farooq,CoB (NBS),Female,4.15
G-10,4020,Leo Xu,EEE,Male,4.12
G-10,3732,Liam Jones,CoE,Male,4.2
G-10,3111,Marco Garcia,ASE,Male,4.04
G-10,3843,Mia Zhang,SSS,Female,4.18
G-10,3395,Michael Miller,ASE,Male,3.95
G-10,1468,Ming Wei,SSS,Male,4.19
G-10,171,Nina Bennett,ADM,Female,4.08
G-10,5420,Nina Patil,ADM,Female,4.1
G-10,1139,Nurul Aini Binti Ahmad,CCDS,Female,4.2
G-10,4588,Paula Wong,CEE,Female,4.06
G-10,3364,Rhea Kapoor,SSS,Female,4.0
G-10,3189,Rhea Lee,SSS,Female,4.07
G-10,5695,Rhys Tan,MSE,Male,4.06
G-10,4108,Rizan Bin Ahmad,CCDS,Male,4.11
G-10,4308,Sho Nakajima,ASE,Male,4.27
G-10,2405,Soo-Young Kim,CoB (NBS),Female,3.88
G-10,5856,Sophie Cheung,WKW SCI,Female,4.2
G-10,2515,Tanya Lee,ADM,Female,4.04
G-10,516,Tao Liu,EEE,Male,4.05
G-10,16,Tatum Flores,SPMS,Female,4.2
G-10,2857,Tianming,MSE,Female,4.2
G-10,2863,Will Chen,SoH,Male,4.23
G-10,2255,Xander Cook,CCEB,Male,4.1
G-10,3903,Xiao Chen,CCEB,Male,3.86
G-10,5121,Ximena Fernandez,ADM,Female,4.12
G-10,4077,Yasir Ahmad,SoH,Male,4.52
G-10,3963,Yasmine Villanueva,ADM,Female,4.02
G-10,4477,Yuzhi,CCDS,Male,4.25
G-10,3388,Zaki Bin Ibrahim,LKCMedicine,Male,4.0
G-100,4043,Adrian King,EEE,Male,4.12
G-100,3242,Aiden Brown,NIE,Male,3.9
G-100,2603,Ali Rehman,SPMS,Male,4.14
G-100,3280,Alina Malik,SSS,Female,4.19
G-100,701,Ameer Bin Rahman,CoB (NBS),Male,4.2
G-100,5269,Anjali Nair,LKCMedicine,Female,4.27
G-100,424,Ashok Nair,SSS,Male,4.52
G-100,2468,Bella Perry,SBS,Female,3.9
G-100,5743,Bradley Huang,MAE,Male,4.01
G-100,2017,Caiyun,CCDS,Male,3.91
G-100,4425,Carla Wang,SBS,Female,4.12
G-100,4888,Carter Moore,SoH,Male,4.1
G-100,2000,Danty Susanto,SoH,Male,4.05
G-100,1683,Diya Nair,MAE,Female,4.11
G-100,491,Fangling,MSE,Female,4.05
G-100,1145,Fay Tan,LKCMedicine,Female,4.09
G-100,5945,Fergus Mendoza,SoH,Male,4.11
G-100,2346,Fiona Clark,NIE,Female,4.15
G-100,2089,Han Zhang,MAE,Male,4.02
G-100,4283,Hassan Farooq,CoB (NBS),Female,4.1
G-100,861,Hua Zhang,SBS,Male,4.17
G-100,438,Iris Rivera,MAE,Female,3.95
G-100,2009,Isabella Thomas,NIE,Female,3.9
G-100,4743,Jack Foster,ADM,Male,4.05
G-100,4857,Jordan Chen,MSE,Male,4.06
G-100,745,Khalid Rahman,ASE,Male,4.1
G-100,1547,Margaret Li,SBS,Female,4.2
G-100,2332,Maya Ong,CoB (NBS),Female,4.14
G-100,347,Meera Menon,NIE,Female,3.92
G-100,1176,Mia Hall,SBS,Female,3.95
G-100,967,Mia Phillips,CCEB,Female,4.17
G-100,370,Mia Wong,NIE,Female,4.03
G-100,4268,Nadia Binti Azhar,WKW SCI,Female,4.15
G-100,4061,Naina Gupta,CCEB,Female,4.2
G-100,5534,Neelam Bhatia,SSS,Female,4.05
G-100,5953,Orlando Wu,WKW SCI,Male,4.01
G-100,2698,Owen Hill,WKW SCI,Male,4.03
G-100,5791,Peter Choi,ADM,Male,4.19
G-100,1875,Rachel Lee,SPMS,Female,4.11
G-100,3137,Raquel Huang,EEE,Female,4.18
G-100,412,Seema Kapoor,CCEB,Female,4.19
G-100,2097,Siti Maryam,CEE,Female,4.03
G-100,731,Tae-Soo Kim,CCEB,Male,4.05
G-100,1795,Tao Wang,CoE,Female,4.12
G-100,4274,Tommy Wu,EEE,Male,4.03
G-100,2040,Wesley Turner,CoB (NBS),Male,4.17
G-100,356,Yasir Qureshi,ADM,Male,4.08
G-100,111,Ying Liu,CoE,Female,4.03
G-100,1824,Yuanqing,CEE,Female,4.25
G-100,5800,Yumi Nishikawa,SPMS,Female,4.14
G-101,3886,Ajay Iyer,EEE,Male,4.2
G-101,746,Alani Lin,CCDS,Female,4.03
G-101,5210,Amaya Sharma,EEE,Female,4.15
G-101,2425,Asher Nelson,EEE,Male,4.21
G-101,1545,Carter Thompson,SoH,Male,4.03
G-101,621,Christopher Cox,CoE,Male,4.12
G-101,23,Daphne Tan,EEE,Female,4.26
G-101,3088,Eli Cruz,EEE,Male,4.11
G-101,849,Ethan Taylor,SoH,Male,4.15
G-101,4173,Evelyn Cheung,CoB (NBS),Female,4.48
G-101,4167,Farhan Bin Azhar,CCEB,Male,4.2
G-101,5015,Fatima Bhatia,MSE,Female,4.19
G-101,615,Gia Tsai,EEE,Female,3.89
G-101,5809,Hannah Smith,EEE,Female,4.11
G-101,4526,Hope Chen,CCDS,Female,4.04
G-101,5741,Isla Young,MSE,Female,4.17
G-101,1293,Jasper Wang,CoB (NBS),Male,4.08
G-101,4896,Jaxon Lewis,ASE,Male,4.12
G-101,410,Jin Yang Tan,EEE,Male,3.95
G-101,762,Kate Tan,SBS,Female,4.03
G-101,4393,Kevin Brown,ASE,Male,4.18
G-101,1839,Kexin,MAE,Female,4.0
G-101,5191,Khayla Rahayu,MAE,Female,4.15
G-101,1353,Kieran Harris,EEE,Male,3.91
G-101,1346,Lola Tan,MSE,Female,4.2
G-101,5468,Lucas Chen,CCDS,Male,4.12
G-101,3382,Madiha Ali,NIE,Female,3.9
G-101,4346,Manish Singh,CCDS,Male,4.1
G-101,3593,Minghao,LKCMedicine,Male,4.15
G-101,2828,Nguyen Hoang Long,ADM,Male,4.05
G-101,1235,Nguyen Thi Binh,SPMS,Female,4.21
G-101,5633,Ning Li,CCEB,Female,4.09
G-101,5987,Owen Nugroho,CCDS,Male,4.15
G-101,665,Qi Chen,ASE,Male,4.04
G-101,5291,Rachel Choi,CCEB,Female,4.12
G-101,35,Riley Lim,EEE,Male,4.48
G-101,2986,Rishi Tan,CoB (NBS),Male,4.08
G-101,2349,Sandeep Rao,MAE,Male,4.14
G-101,757,Savannah Torres,SPMS,Female,4.2
G-101,2852,Shayla Wang,ASE,Female,4.01
G-101,4045,Sofia Reddy,SoH,Female,4.09
G-101,2337,Sophia Jones,SoH,Female,4.18
G-101,5461,Suraj Mishra,CoB (NBS),Male,4.08
G-101,456,Wani Binti Jalil,SPMS,Female,4.0
G-101,4928,Weijun,SBS,Male,3.85
G-101,696,Wyatt Price,SSS,Male,3.95
G-101,437,Xiao Ming,ASE,Male,4.17
G-101,3546,Ying Wong,SBS,Female,3.88
G-101,2753,Zadie Harris,ASE,Female,4.52
G-101,715,Zoe King,ASE,Female,3.88
G-102,783,Ajay Bhatt,EEE,Male,4.22
G-102,3592,Alina Awan,SPMS,Female,4.1
G-102,5928,Anjali Kumar,CEE,Female,3.95
G-102,5144,Aria Murphy,CoB (NBS),Female,4.2
G-102,3439,Asher Clark,CCDS,Male,4.03
G-102,5888,Bradley Yang,LKCMedicine,Male,4.09
G-102,2315,Cheng Fang Tan,SBS,Male,4.05
G-102,2373,Elisha Wu,MSE,Male,4.23
G-102,2595,Fariha Noor,MSE,Female,4.14
G-102,3820,Felix Wong,EEE,Male,4.14
G-102,2079,Gina Lau,NIE,Female,4.15
G-102,818,Hansel Bautista,WKW SCI,Male,4.06
G-102,2376,Hao Yang Tan,CCEB,Male,4.3
G-102,3692,Harsh Kumar,EEE,Male,4.05
G-102,2403,Henry Tan,SSS,Male,4.12
G-102,337,Kanwal Bukhari,MSE,Female,4.16
G-102,3413,Kiran Shah,WKW SCI,Female,4.12
G-102,5447,Lan Nguyen,CEE,Female,4.15
G-102,902,Layla Cooper,LKCMedicine,Female,4.03
G-102,2221,Levi Huang,MSE,Male,4.04
G-102,2192,Liu Fang,SSS,Female,4.03
G-102,2246,Luca Torres,LKCMedicine,Male,4.12
G-102,39,Lyric Tan,LKCMedicine,Female,4.04
G-102,5690,Maharani Sari,MSE,Female,4.3
G-102,448,Margarita Sokolova,SSS,Female,4.03
G-102,103,Maximus Wright,SBS,Male,4.05
G-102,3043,Maya Sari,MSE,Female,4.15
G-102,3957,Megan Walker,LKCMedicine,Female,4.06
G-102,4862,Melati Ahmad,CoB (NBS),Female,3.88
G-102,5578,Minh Tran,EEE,Male,4.03
G-102,5147,Min-Ji Park,SPMS,Female,4.03
G-102,3717,Nafisa Ali,MAE,Female,3.95
G-102,613,Nina Phillips,SoH,Female,4.11
G-102,2720,Nira Gupta,CoB (NBS),Female,4.12
G-102,714,Nisha Gupta,MSE,Female,4.21
G-102,4404,Omar Farooq,CoB (NBS),Male,4.2
G-102,1688,Pranata Santoso,SoH,Male,3.95
G-102,956,Raj Tan,LKCMedicine,Male,4.17
G-102,4386,Riku Takeda,WKW SCI,Male,4.01
G-102,3168,Sakshi Iyer,EEE,Female,3.94
G-102,828,Sakshi Singh,MAE,Female,4.14
G-102,2560,Simran Singh,SSS,Female,4.03
G-102,1634,Sofia Hernandez,WKW SCI,Female,4.26
G-102,5023,Svetlana Chernyshova,WKW SCI,Female,4.06
G-102,1768,Travis Lim,CoB (NBS),Male,4.0
G-102,5913,Ulysses Salazar,CCDS,Male,4.2
G-102,2013,Wyatt Thompson,LKCMedicine,Male,4.09
G-102,1362,Yong Hui,SPMS,Male,4.21
G-102,3909,Zara Lim,SSS,Female,4.1
G-102,4379,Zoe Martinez,SPMS,Female,4.21
G-103,18,Alan Chan,CEE,Male,4.0
G-103,1495,Amira Tan,LKCMedicine,Female,4.15
G-103,5493,Amna Bukhari,SoH,Female,4.11
G-103,5627,Anjali Singh,CCDS,Female,4.16
G-103,4132,Aria Martinez,MSE,Female,4.18
G-103,3554,Asha Mehta,WKW SCI,Female,4.52
G-103,5483,Camila Li,CCDS,Female,4.27
G-103,4842,Carmen Ong,NIE,Female,4.09
G-103,397,Chong Wang,CoE,Male,4.25
G-103,1618,Dallas Huang,EEE,Male,4.09
G-103,2165,David Young,ASE,Male,4.19
G-103,5040,Dev Sharma,SPMS,Male,4.26
G-103,4616,Eli Tan,CoB (NBS),Male,3.88
G-103,3251,Emily Scott,SoH,Female,4.07
G-103,4224,Ethan White,SPMS,Male,4.11
G-103,2559,Everett Harris,CoE,Male,4.14
