Tutorial Group,Student ID,Name,School,Gender,CGPA
G-1,5002,Aarav Singh,EEE,Male,4.02
G-1,3838,Aarti Nair,WKW SCI,Female,4.05
G-1,2091,Adlan Bin Rahman,SPMS,Male,4.2
G-1,288,Ajay Verma,NIE,Male,4.01
G-1,4479,Amelia Kim,CoB (NBS),Female,4.11
G-1,5708,Ananya Ramesh,CoB (NBS),Male,4.2
G-1,4563,Anjali Patel,ADM,Female,4.01
G-1,3989,Anthony Liu,SBS,Male,4.15
G-1,2115,Anya Kumar,WKW SCI,Female,4.03
G-1,1383,Areeba Khan,SBS,Female,4.19
G-1,1417,Darren Lee,CCEB,Male,4.12
G-1,1075,Felix Yip,SPMS,Male,4.08
G-1,3148,Gabriel Young,CoE,Male,3.88
G-1,4402,Grace Turner,ASE,Female,4.08
G-1,945,Han Li,CoB (NBS),Female,4.1
G-1,2230,Harlow Wang,NIE,Female,4.18
G-1,4520,Henry Foster,CoE,Male,4.11
G-1,567,Isabella Thompson,ASE,Female,4.03
G-1,1841,Jett Morales,NIE,Male,4.12
G-1,4576,Jie Zhang,EEE,Male,4.03
G-1,5703,Karen Lee,EEE,Female,4.12
G-1,2353,Karen Wong,SoH,Female,3.95
G-1,2069,Kathy Lau,MSE,Female,4.48
G-1,3861,Layla Torres,CCEB,Female,4.52
G-1,162,Lila Patel,EEE,Female,4.07
G-1,588,Lucas Walker,NIE,Male,4.06
G-1,659,Maria Ivanovna,ASE,Female,4.2
G-1,4820,Meera Singh,SPMS,Female,4.22
G-1,2151,Mei Hong,NIE,Female,4.02
G-1,235,Ming Zhang,EEE,Male,4.06
G-1,527,Mohit Desai,NIE,Male,4.06
G-1,1329,Nguyen Van Sam,WKW SCI,Male,3.85
G-1,5119,Nhung Vu,SoH,Female,4.04
G-1,809,Nisha Das,SBS,Female,4.26
G-1,2650,Nurul Shafika,SPMS,Female,4.09
G-1,4657,Oleg Petrovich,SPMS,Male,4.0
G-1,2818,Oliver Tan,NIE,Male,4.09
G-1,3628,Omer Ahmed,MSE,Male,4.06
G-1,1555,Prerna Gupta,EEE,Female,4.04
