Tutorial Group,Student ID,Name,School,Gender,CGPA,Team Assigned
G-1,71,Savannah Taylor,CCEB,Female,4.88,1
G-1,3930,Xun Wei,NIE,Female,2.54,1
G-1,588,Lucas Walker,ADM,Female,2.44,1
G-1,945,Han Li,MAE,Male,2.6,1
G-1,4820,Meera Singh,CoB (NBS),Male,2.49,1
G-1,592,Zara Chang,EEE,Female,4.68,2
G-1,3838,Aarti Nair,SBS,Female,2.52,2
G-1,527,Mohit Desai,EEE,Female,2.43,2
G-1,2230,Harlow Wang,SSS,Male,2.46,2
G-1,162,Lila Patel,NIE,Male,2.39,2
G-1,1329,Nguyen Van Sam,SBS,Female,4.52,3
G-1,5703,Karen Lee,NIE,Female,2.52,3
G-1,3628,Omer Ahmed,ADM,Female,2.42,3
G-1,5119,Nhung Vu,EEE,Male,2.59,3
G-1,288,Ajay Verma,MAE,Male,2.58,3
G-1,4563,Anjali Patel,EEE,Female,2.59,4
G-1,3861,Layla Torres,ASE,Female,2.52,4
G-1,75,Sakina Ahmed,WKW SCI,Female,0.36,4
G-1,5708,Ananya Ramesh,ADM,Male,2.56,4
G-1,4520,Henry Foster,CoB (NBS),Male,2.46,4
G-1,2818,Oliver Tan,SBS,Female,2.59,5
G-1,1555,Prerna Gupta,SSS,Female,2.49,5
G-1,3989,Anthony Liu,CoE,Female,0.35,5
G-1,2776,Siddharth Nair,CCEB,Male,2.56,5
G-1,2417,Truong Minh Chau,SBS,Male,2.45,5
G-1,5477,Vikram Desai,MAE,Female,2.59,6
G-1,2326,Vivi Dwi,NIE,Female,2.49,6
G-1,1271,Priya Singh,CCEB,Male,2.55,6
G-1,2115,Anya Kumar,ADM,Male,2.44,6
G-1,235,Ming Zhang,CoB (NBS),Male,2.43,6
G-1,4479,Amelia Kim,MSE,Female,2.56,7
G-1,2091,Adlan Bin Rahman,MAE,Female,2.46,7
G-1,5002,Aarav Singh,SPMS,Male,2.53,7
G-1,4338,Sana Jain,MAE,Male,2.42,7
G-1,2151,Mei Hong,CoE,Male,2.39,7
G-1,4657,Oleg Petrovich,CCEB,Female,2.56,8
G-1,1383,Areeba Khan,WKW SCI,Female,2.46,8
G-1,2069,Kathy Lau,SoH,Male,2.52,8
G-1,3148,Gabriel Young,SoH,Male,2.41,8
G-1,4402,Grace Turner,SPMS,Male,0.32,8
G-1,1417,Darren Lee,SPMS,Female,2.55,9
G-1,1075,Felix Yip,SBS,Female,2.46,9
G-1,567,Isabella Thompson,MSE,Male,2.51,9
G-1,1841,Jett Morales,SBS,Male,2.41,9
G-1,809,Nisha Das,EEE,Male,0.13,9
G-1,2650,Nurul Shafika,MSE,Female,2.55,10
G-1,4576,Jie Zhang,CoB (NBS),Female,2.44,10
G-1,1645,Zachary Wu,MSE,Male,2.51,10
G-1,659,Maria Ivanovna,SoH,Male,2.4,10
G-1,2353,Karen Wong,CoB (NBS),Male,0.12,10
G-10,4077,Yasir Ahmad,SPMS,Female,4.96,1
