Tutorial Group,Student ID,Name,School,Gender,CGPA,Team Assigned
G-1,5703,Karen Lee,SBS,Female,2.54,1
G-1,2776,Siddharth Nair,WKW SCI,Female,2.45,1
G-1,659,Maria Ivanovna,SSS,Male,2.52,1
G-1,3930,Xun Wei,SSS,Male,2.44,1
G-1,288,Ajay Verma,SPMS,Male,2.43,1
G-1,1271,Priya Singh,CoB (NBS),Male,4.56,2
G-1,4520,Henry Foster,NIE,Female,2.52,2
G-1,2818,Oliver Tan,ASE,Female,2.52,2
G-1,2115,Anya Kumar,SSS,Male,0.28,2
G-1,588,Lucas Walker,SSS,Female,2.49,2
G-1,4563,Anjali Patel,SSS,Male,2.47,3
G-1,2417,Truong Minh Chau,SSS,Female,2.53,3
G-1,162,Lila Patel,CoE,Female,2.51,3
G-1,1555,Prerna Gupta,NIE,Female,2.44,3
G-1,2353,Karen Wong,EEE,Male,2.42,3
G-1,567,Isabella Thompson,ASE,Male,2.45,4
G-1,5708,Ananya Ramesh,EEE,Female,2.55,4
G-1,3989,Anthony Liu,MSE,Male,2.5,4
G-1,5119,Nhung Vu,SSS,Female,2.49,4
G-1,3148,Gabriel Young,NIE,Female,2.4,4
G-1,1075,Felix Yip,ADM,Male,2.58,5
G-1,3861,Layla Torres,NIE,Female,2.44,5
G-1,2069,Kathy Lau,SSS,Male,2.52,5
G-1,2091,Adlan Bin Rahman,ADM,Female,2.44,5
G-1,2151,Mei Hong,SSS,Female,2.4,5
G-1,2326,Vivi Dwi,EEE,Female,2.55,6
G-1,592,Zara Chang,CCEB,Female,2.55,6
G-1,4479,Amelia Kim,SBS,Male,2.45,6
G-1,3628,Omer Ahmed,SSS,Male,2.43,6
G-1,4657,Oleg Petrovich,CoB (NBS),Male,2.4,6
G-1,527,Mohit Desai,NIE,Female,2.58,7
G-1,235,Ming Zhang,WKW SCI,Female,2.58,7
G-1,75,Sakina Ahmed,EEE,Male,2.59,7
G-1,4338,Sana Jain,ADM,Male,2.61,7
G-1,809,Nisha Das,CoE,Male,0.4,7
G-1,71,Savannah Taylor,SPMS,Female,2.46,8
G-1,2230,Harlow Wang,WKW SCI,Male,2.55,8
G-1,5002,Aarav Singh,CoE,Male,2.47,8
G-1,4402,Grace Turner,SBS,Male,2.45,8
G-1,5477,Vikram Desai,SBS,Female,2.44,8
G-1,1645,Zachary Wu,SPMS,Male,2.6,9
G-1,4820,Meera Singh,CoE,Female,2.59,9
G-1,1417,Darren Lee,SoH,Female,2.61,9
G-1,3838,Aarti Nair,MSE,Female,2.59,9
G-1,1329,Nguyen Van Sam,CoE,Male,0.36,9
G-1,1383,Areeba Khan,MSE,Female,4.86,10
G-1,945,Han Li,MAE,Male,2.52,10
G-1,4576,Jie Zhang,MAE,Male,2.47,10
G-1,2650,Nurul Shafika,SSS,Female,2.48,10
G-1,1841,Jett Morales,ADM,Male,0.05,10
G-10,5122,Kerry Lim,SPMS,Female,4.91,1
G-10,2515,Tanya Lee,SPMS,Male,2.52,1
G-10,2857,Tianming,SBS,Female,2.48,1
G-10,3395,Michael Miller,ASE,Male,0.22,1
G-10,3189,Rhea Lee,SBS,Male,2.42,1
G-10,2031,Kendrick Alvarado,LKCMedicine,Female,4.59,2
G-10,298,Freya Chen,ADM,Female,2.41,2
G-10,4477,Yuzhi,EEE,Male,2.41,2
G-10,3841,Benjamin Turner,CCDS,Male,2.42,2
G-10,4108,Rizan Bin Ahmad,SBS,Male,2.42,2
G-10,16,Tatum Flores,WKW SCI,Female,4.68,3
G-10,3794,Christopher Miller,EEE,Male,2.37,3
G-10,3388,Zaki Bin Ibrahim,CoE,Female,2.4,3
G-10,5624,Cheng Zhang,CoB (NBS),Male,2.4,3
G-10,5121,Ximena Fernandez,CoB (NBS),Female,2.4,3
G-10,2581,Alyssa Green,SoH,Female,2.58,4
G-10,560,Ayesha Javed,NIE,Female,2.54,4
G-10,611,Hendra Mulyana,CCEB,Female,2.49,4
G-10,3111,Marco Garcia,SoH,Male,2.43,4
G-10,3364,Rhea Kapoor,ADM,Male,2.5,4
G-10,3732,Liam Jones,CEE,Female,2.63,5
G-10,1139,Nurul Aini Binti Ahmad,CoB (NBS),Male,2.57,5
G-10,2631,Kiara Lin,ADM,Male,2.49,5
G-10,2253,Dante Wu,SBS,Female,2.43,5
G-10,5695,Rhys Tan,SoH,Male,2.43,5
G-10,3963,Yasmine Villanueva,LKCMedicine,Male,2.63,6
G-10,594,Ananya Singh,CCEB,Female,2.47,6
G-10,403,Hae-Jin Lee,SoH,Female,2.5,6
G-10,2405,Soo-Young Kim,SPMS,Female,2.44,6
G-10,3051,Hunter Wilson,SSS,Male,2.5,6
G-10,3329,Adrian Castillo,NIE,Female,2.59,7
G-10,3499,Kira Yamada,EEE,Male,2.45,7
G-10,5420,Nina Patil,LKCMedicine,Female,2.55,7
G-10,1468,Ming Wei,CCEB,Female,2.44,7
G-10,435,Kiran Farooq,CEE,Male,2.51,7
G-10,4077,Yasir Ahmad,SSS,Female,2.59,8
G-10,4308,Sho Nakajima,NIE,Male,2.63,8
G-10,5734,Hassan Malik,SPMS,Male,2.47,8
G-10,375,Kaya Chang,NIE,Male,2.44,8
G-10,3903,Xiao Chen,WKW SCI,Female,2.41,8
G-10,4588,Paula Wong,WKW SCI,Male,2.56,9
G-10,3843,Mia Zhang,NIE,Female,2.56,9
G-10,171,Nina Bennett,SSS,Male,2.47,9
G-10,2863,Will Chen,NIE,Female,2.45,9
G-10,4020,Leo Xu,CCEB,Female,2.51,9
G-10,516,Tao Liu,WKW SCI,Male,2.58,10
G-10,2255,Xander Cook,LKCMedicine,Male,2.55,10
G-10,223,Jaxon Hall,CCEB,Female,2.55,10
G-10,5856,Sophie Cheung,SoH,Male,2.45,10
G-10,565,Isaiah Scott,LKCMedicine,Female,2.42,10
G-100,5743,Bradley Huang,CEE,Female,2.47,1
G-100,5800,Yumi Nishikawa,NIE,Female,2.37,1
G-100,2698,Owen Hill,SSS,Male,2.55,1
G-100,1824,Yuanqing,CEE,Male,2.48,1
G-100,4283,Hassan Farooq,SSS,Male,2.64,1
G-100,2346,Fiona Clark,SBS,Female,2.59,2
G-100,2089,Han Zhang,EEE,Female,2.55,2
G-100,701,Ameer Bin Rahman,MAE,Female,2.54,2
G-100,4268,Nadia Binti Azhar,SSS,Male,2.43,2
G-100,1547,Margaret Li,CCDS,Male,2.4,2
G-100,347,Meera Menon,MAE,Female,2.65,3
G-100,4043,Adrian King,SoH,Female,2.55,3
G-100,438,Iris Rivera,MSE,Male,2.54,3
G-100,111,Ying Liu,WKW SCI,Male,2.39,3
G-100,1145,Fay Tan,SBS,Male,2.39,3
G-100,2000,Danty Susanto,ASE,Male,2.64,4
G-100,5269,Anjali Nair,SBS,Female,2.47,4
G-100,5791,Peter Choi,MAE,Male,2.51,4
G-100,2040,Wesley Turner,MAE,Female,2.45,4
G-100,2468,Bella Perry,CoB (NBS),Male,2.44,4
G-100,861,Hua Zhang,MSE,Male,2.61,5
G-100,1875,Rachel Lee,ADM,Male,2.57,5
G-100,3137,Raquel Huang,SSS,Female,2.51,5
G-100,2097,Siti Maryam,NIE,Male,2.45,5
G-100,1176,Mia Hall,WKW SCI,Female,2.37,5
G-100,5945,Fergus Mendoza,LKCMedicine,Male,2.4,6
G-100,4425,Carla Wang,SoH,Female,2.61,6
G-100,370,Mia Wong,LKCMedicine,Female,2.48,6
G-100,967,Mia Phillips,EEE,Female,2.46,6
G-100,4857,Jordan Chen,ADM,Male,2.55,6
G-100,356,Yasir Qureshi,ADM,Female,2.63,7
G-100,3280,Alina Malik,SPMS,Female,2.57,7
G-100,4061,Naina Gupta,WKW SCI,Female,2.49,7
G-100,2017,Caiyun,SoH,Male,2.46,7
G-100,2603,Ali Rehman,MSE,Male,2.36,7
G-100,1683,Diya Nair,MAE,Female,2.62,8
G-100,2332,Maya Ong,CoE,Male,2.58,8
G-100,745,Khalid Rahman,MAE,Female,2.49,8
G-100,4888,Carter Moore,SSS,Male,2.47,8
G-100,412,Seema Kapoor,SPMS,Female,2.35,8
G-100,5534,Neelam Bhatia,NIE,Female,2.57,9
G-100,2009,Isabella Thomas,NIE,Female,2.58,9
G-100,1795,Tao Wang,EEE,Male,2.43,9
G-100,5953,Orlando Wu,CEE,Male,4.91,9
G-100,4274,Tommy Wu,CoE,Male,0.03,9
G-100,491,Fangling,CoE,Male,2.63,10
G-100,731,Tae-Soo Kim,ADM,Female,4.83,10
G-100,3242,Aiden Brown,MAE,Male,2.56,10
G-100,424,Ashok Nair,SSS,Female,2.47,10
G-100,4743,Jack Foster,SBS,Female,0.02,10
G-101,5191,Khayla Rahayu,CoE,Male,4.96,1
G-101,4167,Farhan Bin Azhar,CCDS,Female,2.42,1
G-101,2828,Nguyen Hoang Long,SSS,Male,2.54,1
G-101,715,Zoe King,SSS,Male,2.42,1
G-101,849,Ethan Taylor,CCEB,Female,0.27,1
G-101,4393,Kevin Brown,LKCMedicine,Female,2.62,2
G-101,2852,Shayla Wang,MSE,Female,2.53,2
G-101,665,Qi Chen,SBS,Male,2.5,2
G-101,4346,Manish Singh,CoB (NBS),Female,2.4,2
G-101,621,Christopher Cox,SSS,Male,2.56,2
G-101,746,Alani Lin,CCEB,Female,4.68,3
G-101,2425,Asher Nelson,ASE,Female,2.36,3
G-101,35,Riley Lim,EEE,Male,2.34,3
G-101,1353,Kieran Harris,ADM,Female,2.38,3
G-101,5987,Owen Nugroho,EEE,Male,2.39,3
G-101,5741,Isla Young,SPMS,Female,4.62,4
G-101,3886,Ajay Iyer,SSS,Female,2.35,4
G-101,3382,Madiha Ali,NIE,Male,2.39,4
G-101,2337,Sophia Jones,EEE,Male,2.39,4
G-101,4896,Jaxon Lewis,MAE,Female,2.39,4
G-101,5461,Suraj Mishra,CoB (NBS),Male,2.66,5
G-101,696,Wyatt Price,NIE,Female,2.66,5
G-101,615,Gia Tsai,MSE,Female,2.49,5
G-101,3593,Minghao,EEE,Male,2.4,5
G-101,5809,Hannah Smith,LKCMedicine,Male,2.41,5
G-101,2349,Sandeep Rao,SPMS,Male,2.58,6
G-101,1839,Kexin,NIE,Male,2.58,6
G-101,437,Xiao Ming,MSE,Female,2.49,6
G-101,4928,Weijun,CoB (NBS),Male,2.42,6
G-101,1346,Lola Tan,SPMS,Female,2.55,6
G-101,23,Daphne Tan,SoH,Female,2.64,7
G-101,757,Savannah Torres,CoB (NBS),Male,2.59,7
G-101,5291,Rachel Choi,CCDS,Male,2.47,7
G-101,762,Kate Tan,CCDS,Female,2.42,7
G-101,1545,Carter Thompson,NIE,Male,2.49,7
G-101,1293,Jasper Wang,MSE,Female,2.64,8
G-101,2753,Zadie Harris,LKCMedicine,Male,2.47,8
G-101,410,Jin Yang Tan,EEE,Female,2.47,8
G-101,2986,Rishi Tan,SBS,Male,2.54,8
G-101,5210,Amaya Sharma,CoE,Male,2.49,8
G-101,3546,Ying Wong,LKCMedicine,Female,2.62,9
