Tutorial Group,Student ID,Name,School,Gender,CGPA,Team Assigned
G-1,3861,Layla Torres,ADM,Female,4.52,1
G-1,1329,Nguyen Van Sam,WKW SCI,Male,3.85,1
G-1,945,Han Li,MAE,Female,4.1,1
G-1,527,Mohit Desai,NIE,Male,4.06,1
G-1,2650,Nurul Shafika,WKW SCI,Female,4.09,1
G-1,2069,Kathy Lau,NIE,Female,4.48,2
G-1,2417,Truong Minh Chau,ADM,Female,3.88,2
G-1,3628,Omer Ahmed,SPMS,Male,4.06,2
G-1,4576,Jie Zhang,WKW SCI,Male,4.03,2
G-1,4402,Grace Turner,CoE,Female,4.08,2
G-1,809,Nisha Das,SSS,Female,4.26,3
G-1,3148,Gabriel Young,ASE,Male,3.88,3
G-1,2230,Harlow Wang,CoE,Female,4.18,3
G-1,1417,Darren Lee,NIE,Male,4.12,3
G-1,162,Lila Patel,SSS,Female,4.07,3
G-1,4820,Meera Singh,SSS,Female,4.22,4
G-1,1645,Zachary Wu,SBS,Male,3.93,4
G-1,3930,Xun Wei,MSE,Female,4.18,4
G-1,235,Ming Zhang,NIE,Male,4.06,4
G-1,3838,Aarti Nair,ASE,Female,4.05,4
G-1,4338,Sana Jain,NIE,Female,4.22,5
G-1,2326,Vivi Dwi,CoE,Female,3.95,5
G-1,3989,Anthony Liu,MAE,Male,4.15,5
G-1,1841,Jett Morales,NIE,Male,4.12,5
G-1,5119,Nhung Vu,SBS,Female,4.04,5
G-1,2091,Adlan Bin Rahman,CoB (NBS),Male,4.2,6
G-1,2353,Karen Wong,EEE,Female,3.95,6
G-1,1271,Priya Singh,SoH,Female,4.17,6
G-1,1075,Felix Yip,SSS,Male,4.08,6
G-1,1555,Prerna Gupta,SPMS,Female,4.04,6
G-1,5708,Ananya Ramesh,NIE,Male,4.2,7
G-1,4657,Oleg Petrovich,WKW SCI,Male,4.0,7
G-1,5703,Karen Lee,SPMS,Female,4.12,7
G-1,4479,Amelia Kim,ASE,Female,4.11,7
G-1,2115,Anya Kumar,SoH,Female,4.03,7
G-1,659,Maria Ivanovna,MSE,Female,4.2,8
G-1,4563,Anjali Patel,MSE,Female,4.01,8
G-1,4520,Henry Foster,EEE,Male,4.11,8
G-1,588,Lucas Walker,SPMS,Male,4.06,8
G-1,567,Isabella Thompson,EEE,Female,4.03,8
G-1,1383,Areeba Khan,SoH,Female,4.19,9
G-1,288,Ajay Verma,CCEB,Male,4.01,9
G-1,2776,Siddharth Nair,ADM,Male,4.14,9
G-1,592,Zara Chang,NIE,Female,4.11,9
G-1,75,Sakina Ahmed,CoB (NBS),Female,4.03,9
G-1,71,Savannah Taylor,ASE,Female,4.19,10
G-1,2151,Mei Hong,ADM,Female,4.02,10
G-1,2818,Oliver Tan,ASE,Male,4.09,10
G-1,5477,Vikram Desai,MAE,Male,4.09,10
G-1,5002,Aarav Singh,WKW SCI,Male,4.02,10
G-10,403,Hae-Jin Lee,SSS,Female,4.52,1
G-10,3903,Xiao Chen,CEE,Male,3.86,1
G-10,611,Hendra Mulyana,CoB (NBS),Male,4.1,1
G-10,298,Freya Chen,SSS,Female,4.09,1
G-10,3329,Adrian Castillo,NIE,Male,4.07,1
G-10,4077,Yasir Ahmad,SBS,Male,4.52,2
G-10,2405,Soo-Young Kim,CoE,Female,3.88,2
G-10,2255,Xander Cook,CEE,Male,4.1,2
G-10,171,Nina Bennett,CCDS,Female,4.08,2
G-10,3189,Rhea Lee,NIE,Female,4.07,2
G-10,4308,Sho Nakajima,CCEB,Male,4.27,3
G-10,2581,Alyssa Green,CoE,Female,3.94,3
G-10,16,Tatum Flores,CCDS,Female,4.2,3
G-10,223,Jaxon Hall,CCEB,Male,4.12,3
G-10,3841,Benjamin Turner,SSS,Male,4.06,3
G-10,3499,Kira Yamada,MSE,Female,4.26,4
G-10,3395,Michael Miller,CCEB,Male,3.95,4
G-10,2857,Tianming,CCEB,Female,4.2,4
G-10,4020,Leo Xu,SoH,Male,4.12,4
G-10,3051,Hunter Wilson,CCDS,Male,4.06,4
G-10,4477,Yuzhi,ASE,Male,4.25,5
G-10,3388,Zaki Bin Ibrahim,CCEB,Male,4.0,5
G-10,435,Kiran Farooq,EEE,Female,4.15,5
G-10,5121,Ximena Fernandez,SoH,Female,4.12,5
G-10,2631,Kiara Lin,CoB (NBS),Female,4.06,5
G-10,2863,Will Chen,ASE,Male,4.23,6
G-10,3364,Rhea Kapoor,ASE,Female,4.0,6
G-10,2031,Kendrick Alvarado,SoH,Male,4.18,6
G-10,560,Ayesha Javed,CCEB,Female,4.09,6
G-10,4588,Paula Wong,LKCMedicine,Female,4.06,6
G-10,594,Ananya Singh,NIE,Female,4.2,7
G-10,5122,Kerry Lim,CCEB,Female,4.01,7
G-10,1468,Ming Wei,SoH,Male,4.19,7
G-10,565,Isaiah Scott,CEE,Male,4.15,7
G-10,5695,Rhys Tan,CCDS,Male,4.06,7
G-10,3732,Liam Jones,CCEB,Male,4.2,8
G-10,3963,Yasmine Villanueva,CCEB,Female,4.02,8
G-10,2253,Dante Wu,SSS,Male,4.18,8
G-10,5420,Nina Patil,SPMS,Female,4.1,8
G-10,375,Kaya Chang,NIE,Female,4.05,8
G-10,1139,Nurul Aini Binti Ahmad,CoB (NBS),Female,4.2,9
G-10,5734,Hassan Malik,SBS,Male,4.03,9
G-10,3843,Mia Zhang,CEE,Female,4.18,9
G-10,5624,Cheng Zhang,MSE,Male,4.11,9
G-10,516,Tao Liu,CCDS,Male,4.05,9
G-10,5856,Sophie Cheung,SSS,Female,4.2,10
G-10,2515,Tanya Lee,NIE,Female,4.04,10
G-10,3794,Christopher Miller,WKW SCI,Male,4.17,10
G-10,4108,Rizan Bin Ahmad,CCDS,Male,4.11,10
G-10,3111,Marco Garcia,ASE,Male,4.04,10
G-100,424,Ashok Nair,ADM,Male,4.52,1
G-100,2009,Isabella Thomas,WKW SCI,Female,3.9,1
G-100,1683,Diya Nair,SPMS,Female,4.11,1
G-100,731,Tae-Soo Kim,CCEB,Male,4.05,1
G-100,1875,Rachel Lee,WKW SCI,Female,4.11,1
G-100,5269,Anjali Nair,SPMS,Female,4.27,2
G-100,2468,Bella Perry,CoE,Female,3.9,2
G-100,4043,Adrian King,ASE,Male,4.12,2
G-100,5945,Fergus Mendoza,SoH,Male,4.11,2
G-100,4283,Hassan Farooq,SPMS,Female,4.1,2
G-100,1824,Yuanqing,NIE,Female,4.25,3
G-100,3242,Aiden Brown,EEE,Male,3.9,3
G-100,2346,Fiona Clark,MSE,Female,4.15,3
G-100,356,Yasir Qureshi,ADM,Male,4.08,3
G-100,1145,Fay Tan,ASE,Female,4.09,3
G-100,701,Ameer Bin Rahman,MAE,Male,4.2,4
G-100,2017,Caiyun,EEE,Male,3.91,4
G-100,967,Mia Phillips,CCEB,Female,4.17,4
G-100,4268,Nadia Binti Azhar,SSS,Female,4.15,4
G-100,491,Fangling,WKW SCI,Female,4.05,4
G-100,1547,Margaret Li,CCDS,Female,4.2,5
G-100,347,Meera Menon,SPMS,Female,3.92,5
G-100,861,Hua Zhang,ADM,Male,4.17,5
G-100,4888,Carter Moore,EEE,Male,4.1,5
G-100,5534,Neelam Bhatia,CoB (NBS),Female,4.05,5
G-100,4061,Naina Gupta,CoE,Female,4.2,6
G-100,1176,Mia Hall,MSE,Female,3.95,6
G-100,2603,Ali Rehman,SoH,Male,4.14,6
G-100,745,Khalid Rahman,ASE,Male,4.1,6
G-100,370,Mia Wong,NIE,Female,4.03,6
G-100,3280,Alina Malik,ASE,Female,4.19,7
G-100,438,Iris Rivera,LKCMedicine,Female,3.95,7
G-100,2040,Wesley Turner,ADM,Male,4.17,7
G-100,4743,Jack Foster,SoH,Male,4.05,7
G-100,2698,Owen Hill,SSS,Male,4.03,7
G-100,5791,Peter Choi,MAE,Male,4.19,8
G-100,5953,Orlando Wu,EEE,Male,4.01,8
G-100,2332,Maya Ong,EEE,Female,4.14,8
G-100,1795,Tao Wang,LKCMedicine,Female,4.12,8
G-100,2097,Siti Maryam,SPMS,Female,4.03,8
G-100,412,Seema Kapoor,EEE,Female,4.19,9
G-100,5743,Bradley Huang,CoB (NBS),Male,4.01,9
G-100,5800,Yumi Nishikawa,ASE,Female,4.14,9
G-100,2000,Danty Susanto,ASE,Male,4.05,9
G-100,4274,Tommy Wu,ADM,Male,4.03,9
G-100,3137,Raquel Huang,CEE,Female,4.18,10
G-100,2089,Han Zhang,MAE,Male,4.02,10
G-100,4425,Carla Wang,NIE,Female,4.12,10
G-100,4857,Jordan Chen,CoB (NBS),Male,4.06,10
G-100,111,Ying Liu,CCEB,Female,4.03,10
G-101,2753,Zadie Harris,SBS,Female,4.52,1
G-101,4928,Weijun,EEE,Male,3.85,1
G-101,5633,Ning Li,EEE,Female,4.09,1
G-101,1293,Jasper Wang,MAE,Male,4.08,1
G-101,4045,Sofia Reddy,ASE,Female,4.09,1
G-101,4173,Evelyn Cheung,LKCMedicine,Female,4.48,2
G-101,715,Zoe King,CoB (NBS),Female,3.88,2
G-101,5468,Lucas Chen,CoB (NBS),Male,4.12,2
G-101,3088,Eli Cruz,EEE,Male,4.11,2
G-101,2986,Rishi Tan,CCEB,Male,4.08,2
G-101,35,Riley Lim,NIE,Male,4.48,3
G-101,3546,Ying Wong,MAE,Female,3.88,3
G-101,5809,Hannah Smith,ADM,Female,4.11,3
G-101,4346,Manish Singh,CCDS,Male,4.1,3
G-101,5461,Suraj Mishra,CCDS,Male,4.08,3
G-101,23,Daphne Tan,SoH,Female,4.26,4
G-101,615,Gia Tsai,SSS,Female,3.89,4
G-101,4393,Kevin Brown,SoH,Male,4.18,4
G-101,5987,Owen Nugroho,CCDS,Male,4.15,4
G-101,2828,Nguyen Hoang Long,SBS,Male,4.05,4
G-101,2425,Asher Nelson,CoE,Male,4.21,5
G-101,3382,Madiha Ali,MSE,Female,3.9,5
G-101,4896,Jaxon Lewis,CCDS,Male,4.12,5
G-101,5291,Rachel Choi,CoE,Female,4.12,5
G-101,4526,Hope Chen,SPMS,Female,4.04,5
G-101,1235,Nguyen Thi Binh,ASE,Female,4.21,6
G-101,1353,Kieran Harris,MSE,Male,3.91,6
