Tutorial Group,Team Assigned,Student ID,Name,School,Gender,CGPA
G-1,1,71,Savannah Taylor,CCEB,Female,4.88
G-1,1,5703,Karen Lee,NIE,Female,2.52
G-1,1,2650,Nurul Shafika,MSE,Female,2.55
G-1,1,4338,Sana Jain,MAE,Male,2.42
G-1,1,3148,Gabriel Young,SoH,Male,2.41
G-1,2,945,Han Li,MAE,Male,2.6
G-1,2,3838,Aarti Nair,SBS,Female,2.52
G-1,2,3861,Layla Torres,ASE,Female,2.52
G-1,2,3628,Omer Ahmed,ADM,Female,2.42
G-1,2,1841,Jett Morales,SBS,Male,2.41
G-1,3,1329,Nguyen Van Sam,SBS,Female,4.52
G-1,3,2818,Oliver Tan,SBS,Female,2.59
G-1,3,567,Isabella Thompson,MSE,Male,2.51
G-1,3,527,Mohit Desai,EEE,Female,2.43
G-1,3,659,Maria Ivanovna,SoH,Male,2.4
G-1,4,592,Zara Chang,EEE,Female,4.68
G-1,4,3930,Xun Wei,NIE,Female,2.54
G-1,4,1645,Zachary Wu,MSE,Male,2.51
G-1,4,235,Ming Zhang,CoB (NBS),Male,2.43
G-1,4,162,Lila Patel,NIE,Male,2.39
G-1,5,4563,Anjali Patel,EEE,Female,2.59
G-1,5,1271,Priya Singh,CCEB,Male,2.55
G-1,5,4820,Meera Singh,CoB (NBS),Male,2.49
G-1,5,588,Lucas Walker,ADM,Female,2.44
G-1,5,2151,Mei Hong,CoE,Male,2.39
G-1,6,5119,Nhung Vu,EEE,Male,2.59
G-1,6,2069,Kathy Lau,SoH,Male,2.52
G-1,6,1555,Prerna Gupta,SSS,Female,2.49
G-1,6,4576,Jie Zhang,CoB (NBS),Female,2.44
G-1,6,75,Sakina Ahmed,WKW SCI,Female,0.36
G-1,7,5002,Aarav Singh,SPMS,Male,2.53
G-1,7,1417,Darren Lee,SPMS,Female,2.55
G-1,7,2326,Vivi Dwi,NIE,Female,2.49
G-1,7,2115,Anya Kumar,ADM,Male,2.44
G-1,7,3989,Anthony Liu,CoE,Female,0.35
G-1,8,5477,Vikram Desai,MAE,Female,2.59
G-1,8,2776,Siddharth Nair,CCEB,Male,2.56
G-1,8,2091,Adlan Bin Rahman,MAE,Female,2.46
G-1,8,2417,Truong Minh Chau,SBS,Male,2.45
G-1,8,4402,Grace Turner,SPMS,Male,0.32
