Tutorial Group,Team Assigned,Student ID,Name,School,Gender,CGPA
G-1,1,5002,Aarav Singh,SPMS,Male,2.53
G-1,1,1417,Darren Lee,SPMS,Female,2.55
G-1,1,592,Zara Chang,EEE,Female,4.68
G-1,1,71,Savannah Taylor,CCEB,Female,4.88
G-1,1,588,Lucas Walker,ADM,Female,2.44
G-1,2,3989,Anthony Liu,CoE,Female,0.35
G-1,2,2650,Nurul Shafika,MSE,Female,2.55
G-1,2,4820,Meera Singh,CoB (NBS),Male,2.49
G-1,2,2115,Anya Kumar,ADM,Male,2.44
G-1,2,4563,Anjali Patel,EEE,Female,2.59
G-1,3,3628,Omer Ahmed,ADM,Female,2.42
G-1,3,235,Ming Zhang,CoB (NBS),Male,2.43
G-1,3,945,Han Li,MAE,Male,2.6
G-1,3,2151,Mei Hong,CoE,Male,2.39
G-1,3,1329,Nguyen Van Sam,SBS,Female,4.52
G-1,4,2818,Oliver Tan,SBS,Female,2.59
G-1,4,1645,Zachary Wu,MSE,Male,2.51
G-1,4,1075,Felix Yip,SBS,Female,2.46
G-1,4,4520,Henry Foster,CoB (NBS),Male,2.46
G-1,4,2417,Truong Minh Chau,SBS,Male,2.45
G-1,5,75,Sakina Ahmed,WKW SCI,Female,0.36
G-1,5,288,Ajay Verma,MAE,Male,2.58
G-1,5,659,Maria Ivanovna,SoH,Male,2.4
G-1,5,2326,Vivi Dwi,NIE,Female,2.49
G-1,5,3861,Layla Torres,ASE,Female,2.52
G-1,6,1841,Jett Morales,SBS,Male,2.41
G-1,6,5708,Ananya Ramesh,ADM,Male,2.56
G-1,6,567,Isabella Thompson,MSE,Male,2.51
G-1,6,5703,Karen Lee,NIE,Female,2.52
G-1,6,527,Mohit Desai,EEE,Female,2.43
G-1,7,2353,Karen Wong,CoB (NBS),Male,0.12
G-1,7,2776,Siddharth Nair,CCEB,Male,2.56
G-1,7,809,Nisha Das,EEE,Male,0.13
G-1,7,4338,Sana Jain,MAE,Male,2.42
G-1,7,4657,Oleg Petrovich,CCEB,Female,2.56
G-1,8,1555,Prerna Gupta,SSS,Female,2.49
G-1,8,5477,Vikram Desai,MAE,Female,2.59
G-1,8,2230,Harlow Wang,SSS,Male,2.46
G-1,8,2091,Adlan Bin Rahman,MAE,Female,2.46
G-1,8,3930,Xun Wei,NIE,Female,2.54
G-1,9,2069,Kathy Lau,SoH,Male,2.52
G-1,9,4479,Amelia Kim,MSE,Female,2.56
G-1,9,3148,Gabriel Young,SoH,Male,2.41
G-1,9,162,Lila Patel,NIE,Male,2.39
G-1,9,3838,Aarti Nair,SBS,Female,2.52
G-1,10,5119,Nhung Vu,EEE,Male,2.59
G-1,10,1271,Priya Singh,CCEB,Male,2.55
G-1,10,4576,Jie Zhang,CoB (NBS),Female,2.44
G-1,10,1383,Areeba Khan,WKW SCI,Female,2.46
G-1,10,4402,Grace Turner,SPMS,Male,0.32
G-10,1,4477,Yuzhi,EEE,Male,2.55
G-10,1,3843,Mia Zhang,NIE,Female,2.4
G-10,1,375,Kaya Chang,SPMS,Female,2.57
G-10,1,3841,Benjamin Turner,CCDS,Male,2.58
G-10,1,2405,Soo-Young Kim,ASE,Male,2.51
G-10,2,2631,Kiara Lin,CEE,Male,2.53
G-10,2,2031,Kendrick Alvarado,SoH,Female,2.58
G-10,2,3051,Hunter Wilson,LKCMedicine,Male,2.44
G-10,2,5121,Ximena Fernandez,CCDS,Male,2.54
G-10,2,3189,Rhea Lee,EEE,Male,2.58
G-10,3,5734,Hassan Malik,WKW SCI,Male,2.39
G-10,3,16,Tatum Flores,ASE,Male,2.6
G-10,3,5695,Rhys Tan,SSS,Female,2.59
G-10,3,594,Ananya Singh,MSE,Male,2.62
G-10,3,516,Tao Liu,NIE,Male,2.44
G-10,4,3329,Adrian Castillo,SSS,Male,2.56
G-10,4,5420,Nina Patil,LKCMedicine,Male,2.63
G-10,4,560,Ayesha Javed,CoB (NBS),Female,2.47
G-10,4,5122,Kerry Lim,WKW SCI,Female,2.54
G-10,4,4588,Paula Wong,SBS,Female,2.37
G-10,5,2255,Xander Cook,ASE,Female,2.56
G-10,5,3364,Rhea Kapoor,NIE,Male,0.03
G-10,5,3111,Marco Garcia,WKW SCI,Female,2.6
G-10,5,1468,Ming Wei,CCEB,Male,2.44
G-10,5,403,Hae-Jin Lee,ASE,Female,2.43
G-10,6,2581,Alyssa Green,NIE,Male,4.59
G-10,6,4077,Yasir Ahmad,SPMS,Female,4.96
G-10,6,2863,Will Chen,WKW SCI,Female,2.52
G-10,6,298,Freya Chen,LKCMedicine,Female,2.44
G-10,6,565,Isaiah Scott,CCDS,Male,2.47
G-10,7,3499,Kira Yamada,LKCMedicine,Male,2.5
G-10,7,611,Hendra Mulyana,SoH,Male,2.57
G-10,7,435,Kiran Farooq,CCDS,Female,2.63
G-10,7,2857,Tianming,SBS,Female,2.52
G-10,7,3903,Xiao Chen,ADM,Female,2.4
G-10,8,3794,Christopher Miller,CoE,Female,2.58
G-10,8,2253,Dante Wu,SSS,Male,2.56
G-10,8,4108,Rizan Bin Ahmad,NIE,Female,2.39
G-10,8,3732,Liam Jones,ADM,Male,0.29
G-10,8,4308,Sho Nakajima,CCEB,Male,2.54
G-10,9,2515,Tanya Lee,LKCMedicine,Female,4.51
G-10,9,1139,Nurul Aini Binti Ahmad,NIE,Female,0.11
G-10,9,3388,Zaki Bin Ibrahim,SBS,Male,2.38
G-10,9,5624,Cheng Zhang,ADM,Female,2.46
G-10,9,5856,Sophie Cheung,SPMS,Female,2.46
G-10,10,3963,Yasmine Villanueva,CoB (NBS),Female,2.59
G-10,10,4020,Leo Xu,CCEB,Male,2.59
G-10,10,3395,Michael Miller,CEE,Male,4.84
G-10,10,171,Nina Bennett,CCDS,Female,2.4
G-10,10,223,Jaxon Hall,SSS,Female,2.62
G-100,1,5945,Fergus Mendoza,CoE,Male,2.59
G-100,1,5953,Orlando Wu,MAE,Female,2.37
G-100,1,4061,Naina Gupta,MSE,Male,2.56
G-100,1,2698,Owen Hill,NIE,Male,2.61
G-100,1,967,Mia Phillips,ASE,Female,2.63
G-100,2,2000,Danty Susanto,SBS,Male,2.52
G-100,2,412,Seema Kapoor,WKW SCI,Male,2.5
G-100,2,5743,Bradley Huang,SoH,Male,2.42
G-100,2,4043,Adrian King,MAE,Female,2.59
G-100,2,4743,Jack Foster,SoH,Female,2.37
G-100,3,2603,Ali Rehman,NIE,Female,2.53
G-100,3,731,Tae-Soo Kim,SoH,Male,4.51
G-100,3,424,Ashok Nair,ADM,Male,2.61
G-100,3,1547,Margaret Li,SBS,Female,2.44
G-100,3,1875,Rachel Lee,SPMS,Female,2.41
G-100,4,861,Hua Zhang,CoB (NBS),Female,2.45
