Tutorial Group,Team Assigned,Student ID,Name,School,Gender,CGPA
G-1,1,3861,Layla Torres,ASE,Female,4.52
G-1,1,1417,Darren Lee,CoE,Male,4.12
G-1,1,1841,Jett Morales,MAE,Male,4.12
G-1,1,3628,Omer Ahmed,EEE,Male,4.06
G-1,1,3838,Aarti Nair,EEE,Female,4.05
G-1,1,3148,Gabriel Young,EEE,Male,3.88
G-1,1,2417,Truong Minh Chau,SSS,Female,3.88
G-1,2,2069,Kathy Lau,SSS,Female,4.48
G-1,2,2776,Siddharth Nair,CCEB,Male,4.14
G-1,2,5703,Karen Lee,SPMS,Female,4.12
G-1,2,527,Mohit Desai,EEE,Male,4.06
G-1,2,5119,Nhung Vu,ADM,Female,4.04
G-1,2,1645,Zachary Wu,CoE,Male,3.93
G-1,2,1329,Nguyen Van Sam,NIE,Male,3.85
G-1,3,809,Nisha Das,CoB (NBS),Female,4.26
G-1,3,3989,Anthony Liu,WKW SCI,Male,4.15
G-1,3,4479,Amelia Kim,CCDS,Female,4.11
G-1,3,235,Ming Zhang,CCDS,Male,4.06
G-1,3,1555,Prerna Gupta,MAE,Female,4.04
G-1,3,2326,Vivi Dwi,CoB (NBS),Female,3.95
G-1,4,4820,Meera Singh,CoE,Female,4.22
G-1,4,1271,Priya Singh,SSS,Female,4.17
G-1,4,4520,Henry Foster,EEE,Male,4.11
G-1,4,588,Lucas Walker,MAE,Male,4.06
G-1,4,2115,Anya Kumar,EEE,Female,4.03
G-1,4,2353,Karen Wong,SBS,Female,3.95
G-1,5,4338,Sana Jain,SPMS,Female,4.22
G-1,5,3930,Xun Wei,EEE,Female,4.18
G-1,5,592,Zara Chang,MSE,Female,4.11
G-1,5,162,Lila Patel,SSS,Female,4.07
G-1,5,567,Isabella Thompson,CoB (NBS),Female,4.03
G-1,5,4657,Oleg Petrovich,SoH,Male,4.0
G-1,6,2091,Adlan Bin Rahman,EEE,Male,4.2
G-1,6,2230,Harlow Wang,CoB (NBS),Female,4.18
G-1,6,945,Han Li,MAE,Female,4.1
G-1,6,4402,Grace Turner,CCDS,Female,4.08
G-1,6,4576,Jie Zhang,EEE,Male,4.03
G-1,6,4563,Anjali Patel,WKW SCI,Female,4.01
G-1,7,5708,Ananya Ramesh,SoH,Male,4.2
G-1,7,71,Savannah Taylor,SoH,Female,4.19
G-1,7,2650,Nurul Shafika,SoH,Female,4.09
G-1,7,1075,Felix Yip,CoB (NBS),Male,4.08
G-1,7,75,Sakina Ahmed,CCDS,Female,4.03
G-1,7,288,Ajay Verma,CoB (NBS),Male,4.01
G-1,8,659,Maria Ivanovna,SSS,Female,4.2
G-1,8,1383,Areeba Khan,CoB (NBS),Female,4.19
G-1,8,2818,Oliver Tan,CoB (NBS),Male,4.09
G-1,8,5477,Vikram Desai,SoH,Male,4.09
G-1,8,5002,Aarav Singh,CCDS,Male,4.02
G-1,8,2151,Mei Hong,EEE,Female,4.02
G-10,1,403,Hae-Jin Lee,SoH,Female,4.52
G-10,1,3843,Mia Zhang,EEE,Female,4.18
G-10,1,3794,Christopher Miller,CoB (NBS),Male,4.17
G-10,1,3189,Rhea Lee,CCEB,Female,4.07
G-10,1,3841,Benjamin Turner,SBS,Male,4.06
G-10,1,2581,Alyssa Green,ASE,Female,3.94
G-10,1,2405,Soo-Young Kim,ASE,Female,3.88
G-10,2,4077,Yasir Ahmad,SoH,Male,4.52
G-10,2,2031,Kendrick Alvarado,CCDS,Male,4.18
G-10,2,565,Isaiah Scott,SoH,Male,4.15
G-10,2,3329,Adrian Castillo,MAE,Male,4.07
G-10,2,3051,Hunter Wilson,LKCMedicine,Male,4.06
G-10,2,3395,Michael Miller,CoB (NBS),Male,3.95
G-10,2,3903,Xiao Chen,CoE,Male,3.86
G-10,3,4308,Sho Nakajima,MAE,Male,4.27
G-10,3,2253,Dante Wu,EEE,Male,4.18
G-10,3,435,Kiran Farooq,WKW SCI,Female,4.15
G-10,3,171,Nina Bennett,CCEB,Female,4.08
G-10,3,2631,Kiara Lin,CCDS,Female,4.06
G-10,3,3388,Zaki Bin Ibrahim,EEE,Male,4.0
G-10,4,3499,Kira Yamada,CCDS,Female,4.26
G-10,4,1468,Ming Wei,MAE,Male,4.19
G-10,4,223,Jaxon Hall,MAE,Male,4.12
G-10,4,298,Freya Chen,MAE,Female,4.09
G-10,4,4588,Paula Wong,CoB (NBS),Female,4.06
G-10,4,3364,Rhea Kapoor,MAE,Female,4.0
G-10,5,4477,Yuzhi,SPMS,Male,4.25
G-10,5,2857,Tianming,SoH,Female,4.2
G-10,5,4020,Leo Xu,CoB (NBS),Male,4.12
G-10,5,560,Ayesha Javed,SoH,Female,4.09
G-10,5,5695,Rhys Tan,WKW SCI,Male,4.06
G-10,5,5122,Kerry Lim,CCEB,Female,4.01
G-10,6,2863,Will Chen,MAE,Male,4.23
G-10,6,16,Tatum Flores,EEE,Female,4.2
G-10,6,5121,Ximena Fernandez,MSE,Female,4.12
G-10,6,2255,Xander Cook,CoE,Male,4.1
G-10,6,375,Kaya Chang,SBS,Female,4.05
